query_id,split,retrieval_mode,query_type,expected_chunk_ids,answer_rank,top_returned_chunks,failure_reason
GOLD-TJK_ENERGY-POLICY_ALIGNMENT,test,embedding,policy_alignment,CPS-TJK-p29-01,not_in_top_k,CPS-TJK-p16-01|CPS-TJK-p24-01|CPS-PAK-p08-01|CPS-TJK-p37-01|CPS-TJK-p13-01,expected chunk not returned in frozen Top-K
GOLD-UGA_EDU-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-UGA-p15-01,not_in_top_k,CPS-LKA-p18-01|CPS-RWA-p22-01|CPS-LKA-p25-01|CPS-MMR-p20-01|CPS-TZA-p17-01,expected chunk not returned in frozen Top-K
GOLD-UKR_HEALTH-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-UKR-p17-01,not_in_top_k,CPS-PRY-p12-01|CPS-UGA-p17-01|CPS-GHA-p14-01|CPS-SEN-p28-02|CPS-NPL-p24-01,expected chunk not returned in frozen Top-K
GOLD-UKR_HEALTH-CROSS_LANGUAGE,test,embedding,cross_language,CPS-UKR-p17-01,not_in_top_k,CPS-UKR-p26-01|CPS-UKR-p21-01|CPS-UKR-p17-02|CPS-UKR-p29-01|CPS-UKR-p20-02,expected chunk not returned in frozen Top-K
GOLD-UZB_TECH-DIRECT_KEYWORD,test,embedding,direct_keyword,CPS-UZB-p12-01,not_in_top_k,CPS-MNG-p16-01|CPS-KGZ-p18-01|CPS-UZB-p27-01|CPS-MNG-p08-02|CPS-RWA-p27-01,expected chunk not returned in frozen Top-K
GOLD-UZB_TECH-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-UZB-p12-01,not_in_top_k,CPS-IND-p23-01|CPS-RWA-p05-01|CPS-RWA-p34-01|CPS-RWA-p28-01|CPS-RWA-p36-01,expected chunk not returned in frozen Top-K
GOLD-UZB_TECH-POLICY_ALIGNMENT,test,embedding,policy_alignment,CPS-UZB-p12-01,not_in_top_k,CPS-MNG-p16-01|CPS-UZB-p03-03|CPS-KGZ-p18-01|CPS-UKR-p17-02|CPS-MNG-p23-01,expected chunk not returned in frozen Top-K
GOLD-VNM_ADMIN-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-VNM-p10-01,not_in_top_k,CPS-BGD-p22-01|CPS-RWA-p03-01|CPS-NPL-p11-01|CPS-BGD-p20-01|CPS-KGZ-p23-01,expected chunk not returned in frozen Top-K
GOLD-VNM_ADMIN-POLICY_ALIGNMENT,test,embedding,policy_alignment,CPS-VNM-p10-01,not_in_top_k,CPS-LAO-p08-01|CPS-MMR-p27-01|CPS-IDN-p08-01|CPS-VNM-p03-03|CPS-VNM-p03-02,expected chunk not returned in frozen Top-K
GOLD-BOL_HEALTH-NEGATIVE_SECTOR,test,hybrid,negative_sector,,not_applicable,CPS-BOL-p13-01|CPS-BOL-p15-01|CPS-BOL-p25-01|CPS-BOL-p07-01|CPS-BOL-p16-01,negative query returned one or more chunks
GOLD-COL_TECH-NEGATIVE_COUNTRY,test,hybrid,negative_country,,not_applicable,CPS-COL-p16-01|CPS-COL-p17-01|CPS-COL-p09-01|CPS-PER-p05-01|CPS-PER-p15-01,negative query returned one or more chunks
GOLD-EGY_EDU-NEGATIVE_SECTOR,test,hybrid,negative_sector,,not_applicable,CPS-SEN-p14-01|CPS-LKA-p16-01|CPS-UKR-p25-01|CPS-KHM-p11-01|CPS-SEN-p13-01,negative query returned one or more chunks
GOLD-ETH_HEALTH-NEGATIVE_COUNTRY,test,hybrid,negative_country,,not_applicable,CPS-GHA-p10-01|CPS-GHA-p14-01|CPS-GHA-p34-01|CPS-ETH-p13-01|CPS-NPL-p16-01,negative query returned one or more chunks
GOLD-GHA_ENERGY-NEGATIVE_SECTOR,test,hybrid,negative_sector,,not_applicable,CPS-GHA-p10-01|CPS-GHA-p33-01|CPS-GHA-p08-01|CPS-MMR-p09-01|CPS-GHA-p09-01,negative query returned one or more chunks
GOLD-IDN_TECH-NEGATIVE_COUNTRY,test,hybrid,negative_country,,not_applicable,CPS-IDN-p11-01|CPS-PHL-p13-01|CPS-IND-p22-01|CPS-IDN-p23-01|CPS-PHL-p22-01,negative query returned one or more chunks
GOLD-IND_TECH-NEGATIVE_SECTOR,test,hybrid,negative_sector,,not_applicable,CPS-IND-p20-01|CPS-IND-p15-01|CPS-IDN-p26-01|CPS-IDN-p34-01|CPS-IDN-p12-01,negative query returned one or more chunks
GOLD-KGZ_ADMIN-NEGATIVE_COUNTRY,test,hybrid,negative_country,,not_applicable,CPS-UZB-p17-01|CPS-UZB-p27-01|CPS-UZB-p10-01|CPS-UZB-p07-01|CPS-UZB-p30-02,negative query returned one or more chunks
GOLD-LAO_ENERGY-CROSS_LANGUAGE,test,hybrid,cross_language,CPS-LAO-p12-01,not_in_top_k,CPS-PAK-p12-01|CPS-LAO-p17-01|CPS-GHA-p17-01|CPS-GHA-p18-01|CPS-MMR-p18-01,expected chunk not returned in frozen Top-K
GOLD-LKA_HEALTH-NEGATIVE_SECTOR,test,hybrid,negative_sector,,not_applicable,CPS-LKA-p17-01|CPS-LKA-p21-01|CPS-LKA-p26-01|CPS-LKA-p20-01|CPS-LKA-p16-01,negative query returned one or more chunks
GOLD-SEN_AGRI-SEMANTIC_PARAPHRASE,test,hybrid,semantic_paraphrase,CPS-SEN-p15-01,not_in_top_k,CPS-SEN-p23-01|CPS-LAO-p19-01|CPS-PHL-p20-01|CPS-BOL-p15-01|CPS-SEN-p24-01,expected chunk not returned in frozen Top-K
GOLD-VNM_ADMIN-SEMANTIC_PARAPHRASE,test,hybrid,semantic_paraphrase,CPS-VNM-p10-01,not_in_top_k,CPS-VNM-p32-01|CPS-PER-p13-01|CPS-UZB-p17-01|CPS-VNM-p24-01|CPS-UKR-p22-01,expected chunk not returned in frozen Top-K
GOLD-BOL_HEALTH-NEGATIVE_SECTOR,test,hybrid_filtered,negative_sector,,not_applicable,CPS-BOL-p15-01|CPS-BOL-p07-01|CPS-BOL-p16-01|CPS-BOL-p25-01|CPS-BOL-p25-02,negative query returned one or more chunks
GOLD-COL_TECH-NEGATIVE_COUNTRY,test,hybrid_filtered,negative_country,,not_applicable,CPS-PER-p15-01|CPS-PER-p05-01|CPS-PER-p11-01|CPS-PER-p12-01|CPS-PER-p19-01,negative query returned one or more chunks
GOLD-ETH_HEALTH-NEGATIVE_COUNTRY,test,hybrid_filtered,negative_country,,not_applicable,CPS-GHA-p10-01|CPS-GHA-p34-01|CPS-GHA-p14-01|CPS-GHA-p13-01,negative query returned one or more chunks
GOLD-GHA_ENERGY-NEGATIVE_SECTOR,test,hybrid_filtered,negative_sector,,not_applicable,CPS-GHA-p08-01|CPS-GHA-p23-01|CPS-GHA-p15-01|CPS-GHA-p16-01,negative query returned one or more chunks
GOLD-IDN_TECH-NEGATIVE_COUNTRY,test,hybrid_filtered,negative_country,,not_applicable,CPS-PHL-p13-01|CPS-PHL-p18-01|CPS-PHL-p22-01|CPS-PHL-p10-01|CPS-PHL-p30-01,negative query returned one or more chunks
GOLD-IND_TECH-NEGATIVE_SECTOR,test,hybrid_filtered,negative_sector,,not_applicable,CPS-IND-p20-01|CPS-IND-p05-01|CPS-IND-p12-01|CPS-IND-p13-01|CPS-IND-p04-01,negative query returned one or more chunks
GOLD-KGZ_ADMIN-NEGATIVE_COUNTRY,test,hybrid_filtered,negative_country,,not_applicable,CPS-UZB-p17-01|CPS-UZB-p27-01|CPS-UZB-p10-01|CPS-UZB-p07-01|CPS-UZB-p30-02,negative query returned one or more chunks
GOLD-LKA_HEALTH-NEGATIVE_SECTOR,test,hybrid_filtered,negative_sector,,not_applicable,CPS-LKA-p21-01|CPS-LKA-p17-01|CPS-LKA-p29-01|CPS-LKA-p20-01|CPS-LKA-p09-01,negative query returned one or more chunks
